,question_asked,answer_given,top_match,answer_taught,category,question_type,date_received,date_responded,response_time,processed_by,dialogflow_answers
2598,written permission for temporary building,What is a Temporary Written Permission?,Top Match,What is a Temporary Written Permission?,Development Control > General Information on Development Control,No Feedback,11/7/2019 11:00,11/7/2019 14:35,<1,Oh Kie Hock,What is a Temporary Written Permission?
2599,dc15,"General info on Additions and Alterations, and DC Forms",Top Match,"General info on Additions and Alterations, and DC Forms",,No Feedback,11/7/2019 11:01,11/7/2019 14:35,<1,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
2600,yes please do a search,General info for feedback on e-Service errors,Top Match,Catch all,,No Feedback,11/7/2019 11:23,11/7/2019 14:34,<1,Oh Kie Hock,General Info on URA SPACE map service
2601,Can Cendex Centre ground floor unit change of use to Car Show room,General info on change of use,Top Match,General info on change of use,,No Feedback,11/7/2019 12:41,11/7/2019 14:34,<1,Oh Kie Hock,General info on change of use
2602,I was told that the total land coverage area of build up for a detached house of 4700Sq ft cannot exceed 45,How can I obtain the approved plan for my property?,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/7/2019 12:32,11/7/2019 14:34,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
2603,Check approved use,General info on change of use,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,11/7/2019 13:41,11/7/2019 14:33,<1,Oh Kie Hock,General info on change of use
2604,What is the maximum coverage of a builing on land when building a detached house on a land of 4700 sq ft,General info on buying and renovating private residential properties,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/7/2019 12:34,11/7/2019 14:33,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
2605,TOP form,Where are the Development Control (DC) forms?,,Where are the Development Control (DC) forms?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/7/2019 12:40,11/7/2019 14:33,<1,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
2606,how do i download form dc28,"General info on Additions and Alterations, and DC Forms",Top Match,Catch all,,No Feedback,11/7/2019 12:41,11/7/2019 14:32,<1,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
2607,would like to ask about the recent development near AMK Street 66,Catch all,Top Match,Catch all,,No Feedback,11/7/2019 13:42,11/7/2019 14:32,<1,Oh Kie Hock,General Info on URA SPACE map service
2608,EHL,Catch all,,Catch all,,No Feedback,11/7/2019 14:04,11/7/2019 14:32,<1,Oh Kie Hock,
2609,Jamie My name is Flora and I would like to become an volunteer for community tours,Catch all,Top Match,Catch all,,No Feedback,11/7/2019 14:18,11/7/2019 14:32,<1,Oh Kie Hock,Catch all
2610,how do I report Airbnb,General info on renting private residential property,Top Match,General info on reporting infringements,,No Feedback,11/7/2019 14:22,11/7/2019 14:32,<1,Oh Kie Hock,General info on renting private residential property
2611,i want to buy floorplan,Are unit floor plans available in the Private Residential Property Transactions e-Service?,Top Match,Are unit floor plans available in the Private Residential Property Transactions e-Service?,Property Market > Private Residential Property Transactions e-Service,Correct,11/7/2019 11:27,11/7/2019 11:27,<1,Benjamin Chow,Are unit floor plans available in the Private Residential Property Transactions e-Service?
2612,use class,General information on development charge rates,Top Match,Catch all,,No Feedback,11/4/2019 14:39,11/6/2019 18:04,2,Oh Kie Hock,General info on change of use
2613,how to buy asbuilt drawing of existing building,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/4/2019 14:50,11/6/2019 18:04,2,Oh Kie Hock,Are unit floor plans available in the Private Residential Property Transactions e-Service?
2614,payment,Catch all,Top Match,Catch all,,No Feedback,11/4/2019 15:39,11/6/2019 18:04,2,Oh Kie Hock,Car Parks-Parking Offences
2615,payment webpage,General info for feedback on e-Service errors,,General info for feedback on e-Service errors,,No Feedback,11/4/2019 15:39,11/6/2019 18:04,2,Oh Kie Hock,Catch all
2616,purchase of asbuilt drawing of existing building,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/4/2019 16:12,11/6/2019 18:03,2,Oh Kie Hock,Catch all
2617,Will like to check whether a change of use application is required for a retail shop to entertainment in shopping mall,How do I submit a change of use lodgment?,Top Match,General info on change of use,,No Feedback,11/4/2019 18:31,11/6/2019 18:03,2,Oh Kie Hock,General info on change of use
2618,How do I report my neighbours for having too many tenants,General info on reporting infringements,Top Match,General info on reporting infringements,,Incorrect,11/4/2019 20:15,11/6/2019 18:02,2,Oh Kie Hock,General info on reporting infringements
2619,is serviced apartment considered as commercial property,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/4/2019 23:50,11/6/2019 18:02,2,Oh Kie Hock,General info on Development Control guidelines and handbooks
2620,I would like to rent an apartment for four people for one week Where can I look for legal rentals,General info on renting private residential property,Top Match,Catch all,,No Feedback,11/5/2019 1:05,11/6/2019 18:01,1,Oh Kie Hock,General info on renting private residential property
2621,I have applied for URA to be able to host my business in my condo unit for which Im tenant How can I know the status of my request,Catch all,Top Match,Catch all,,No Feedback,11/5/2019 8:37,11/6/2019 18:01,1,Oh Kie Hock,General info on renting private residential property
2622,Is extension of lease for less than 3 months allowed,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/5/2019 9:22,11/6/2019 18:00,1,Oh Kie Hock,General info on renting private residential property
2623,Want to renew temporary canteen,What is a Temporary Written Permission?,Top Match,How do I submit a renewal application for change of use?,Development Control > Change of Use,No Feedback,11/5/2019 9:24,11/6/2019 17:59,1,Oh Kie Hock,What is a Temporary Written Permission?
2624,Renew temporary canteen application,What is a Temporary Written Permission?,,How do I submit a renewal application for change of use?,Development Control > Change of Use,No Feedback,11/5/2019 9:25,11/6/2019 17:59,1,Oh Kie Hock,General info on change of use
2625,WHAT IS LHA PLAN,Catch all,,General info on Development Control guidelines and handbooks,,No Feedback,11/5/2019 9:32,11/6/2019 17:58,1,Oh Kie Hock,General Info on URA SPACE map service
2626,Which geographical sector is Lavander,General information on development charge rates,Top Match,General information on development charge rates,,No Feedback,11/5/2019 9:29,11/6/2019 17:58,1,Oh Kie Hock,General information on development charge rates
2627,rent,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/5/2019 9:40,11/6/2019 17:58,1,Oh Kie Hock,General info on renting private residential property
2628,Hi Jamie reference this point Any form of product promotion and sales eg product launches car displays road shows auctions it means we cannot sell stuff,Catch all,,Catch all,,No Feedback,11/5/2019 9:50,11/6/2019 17:58,1,Oh Kie Hock,Catch all
2629,I want to buy approved plan,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/5/2019 10:02,11/6/2019 17:58,1,Oh Kie Hock,Car Parks-Season Parking-Apply
2630,file a complaint,General info on renting private residential property,Top Match,General info on reporting infringements,,No Feedback,11/5/2019 10:41,11/6/2019 17:57,1,Oh Kie Hock,General info on reporting infringements
2631,complaint,General info on renting private residential property,Top Match,General info on reporting infringements,,No Feedback,11/5/2019 10:41,11/6/2019 17:57,1,Oh Kie Hock,General Information about URA
2632,Can you check for me the reason of application rejected,How can I obtain the approved plan for my property?,Top Match,Catch all,,Incorrect,11/5/2019 11:05,11/6/2019 17:57,1,Oh Kie Hock,Catch all
2633,I would like to check for 3 storey landed property level 2 balcony would like to convert it to a room Is there any sumission involve,General info on change of use,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/5/2019 11:33,11/6/2019 17:56,1,Oh Kie Hock,General info on buying and renovating private residential properties
2634,Can I buy ONE landed property and split into TWO title deeds,Catch all,Top Match,Catch all,,No Feedback,11/5/2019 12:43,11/6/2019 17:56,1,Oh Kie Hock,Catch all
2635,In home office scheme mine is not listed in both permissible and nonpermissible business types,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,11/5/2019 13:06,11/6/2019 17:56,1,Oh Kie Hock,General Info on Home Business
2636,is airbnb illegal,General info on renting private residential property,Top Match,Catch all,,No Feedback,11/5/2019 14:47,11/6/2019 17:55,1,Oh Kie Hock,General info on renting private residential property
2637,renovation guidelines,"What do I need to know when renovating a strata-titled residential property, such as my condominium unit?",Top Match,"What do I need to know when renovating a strata-titled residential property, such as my condominium unit?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,11/5/2019 14:48,11/6/2019 17:55,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
2638,short term accomodation,General info on renting private residential property,Top Match,Catch all,,No Feedback,11/5/2019 14:48,11/6/2019 17:55,1,Oh Kie Hock,General info on renting private residential property
2639,cathay green,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,11/5/2019 15:02,11/6/2019 17:55,1,Oh Kie Hock,Catch all
2640,booke Cathay Green,Catch all,,Catch all,,No Feedback,11/5/2019 15:02,11/6/2019 17:55,1,Oh Kie Hock,Catch all
2641,where can i find bra renovation guideliens,General info on buying and renovating private residential properties,Top Match,General info on buying and renovating private residential properties,,No Feedback,11/5/2019 14:48,11/6/2019 17:54,1,Oh Kie Hock,General information on building conservation
2642,where can i find URA renovation guidelines,Where can I find the latest URA circulars?,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/5/2019 14:49,11/6/2019 17:54,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
2643,renovation guidelines for outdoor refreshment,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/5/2019 15:55,11/6/2019 17:51,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
2644,I wish to report an illegal covering of private roof terrace,General info on reporting infringements,Top Match,General info on reporting infringements,,No Feedback,11/5/2019 16:27,11/6/2019 17:51,1,Oh Kie Hock,General info on reporting infringements
2645,How to check the lease land for Kallang Leisure Park,How can I obtain the approved plan for my property?,Top Match,Catch all,,No Feedback,11/5/2019 16:38,11/6/2019 17:51,1,Oh Kie Hock,General Info on URA SPACE map service
