question_asked,answer_given,top_match,answer_taught,category,question_type,date_received,date_responded,response_time,processed_by,dialogflow_answers
Illegal addition of Metz floor,General info on reporting infringements,,General info on reporting infringements,,No Feedback,11/5/2019 20:33,11/6/2019 17:51,1,Oh Kie Hock,General info on reporting infringements
Can I register company under rented property,General info on renting private residential property,Top Match,Catch all,,No Feedback,11/5/2019 21:30,11/6/2019 17:50,1,Oh Kie Hock,Catch all
submit home address for office address,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,11/5/2019 20:58,11/6/2019 17:50,1,Oh Kie Hock,General Info on Home Business
Planning Permission from Urban Redevelopment Authority URA,What are the development works that are exempted from planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/5/2019 20:39,11/6/2019 17:50,1,Oh Kie Hock,Who can I speak to at URA?
Catering license,General Info on Home Business,,Catch all,,No Feedback,11/6/2019 0:01,11/6/2019 17:49,<1,Oh Kie Hock,Catch all
Approval for catering use,General info on change of use,Top Match,Catch all,,No Feedback,11/6/2019 0:02,11/6/2019 17:49,<1,Oh Kie Hock,Catch all
Catering license approval,General Info on Home Business,,Catch all,,No Feedback,11/6/2019 0:02,11/6/2019 17:49,<1,Oh Kie Hock,Catch all
Hello I would like to inquire about eye lash business,Car Parks-Season Parking-Apply,Top Match,Catch all,,No Feedback,11/5/2019 22:16,11/6/2019 17:49,1,Oh Kie Hock,Catch all
Home based business,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,11/5/2019 22:16,11/6/2019 17:49,1,Oh Kie Hock,General Info on Home Business
Whats the new project under construction at north pioneer road,Catch all,,Catch all,,No Feedback,11/5/2019 22:17,11/6/2019 17:49,1,Oh Kie Hock,General Info on URA SPACE map service
planning approval for temporary use,What are the development works that are exempted from planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/5/2019 23:57,11/6/2019 17:48,1,Oh Kie Hock,General info on change of use
How do I find out whether the premise is approved for catering,General info on buying and renovating private residential properties,Top Match,General info on change of use,,No Feedback,11/6/2019 0:01,11/6/2019 17:48,<1,Oh Kie Hock,General info on change of use
register for home office,"If I do not conduct business activities within the premises and have no non-resident employees, do I",Top Match,"If I do not conduct business activities within the premises and have no non-resident employees, do I",Development Control > Home Office Scheme & Small Business Guidelines,No Feedback,11/6/2019 9:07,11/6/2019 17:47,<1,Oh Kie Hock,General Info on Home Business
Do i need to register home based business,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,11/6/2019 11:08,11/6/2019 17:47,<1,Oh Kie Hock,General Info on Home Business
site coverage,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/6/2019 9:37,11/6/2019 17:46,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
computation of site coverage,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/6/2019 9:40,11/6/2019 17:46,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
exemptions from planning permission,What are the development works that are exempted from planning permission?,Top Match,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,11/6/2019 11:24,11/6/2019 17:46,<1,Oh Kie Hock,What is a Temporary Written Permission?
Is bonus plot ratio still available for commercial,General info on Development Control guidelines and handbooks,,General info on Development Control guidelines and handbooks,,No Feedback,11/6/2019 12:46,11/6/2019 17:46,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
Hi staff quarter required permit,Catch all,,Catch all,,No Feedback,11/6/2019 13:09,11/6/2019 17:46,<1,Oh Kie Hock,General Information about URA
site coverage,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/6/2019 12:53,11/6/2019 17:45,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
site coverage,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/6/2019 12:54,11/6/2019 17:45,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
worker quarter required to submit URA,What are the development works that are exempted from planning permission?,Top Match,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,11/6/2019 13:09,11/6/2019 17:45,<1,Oh Kie Hock,Catch all
contractors hut mean worker quarters,Catch all,,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,11/6/2019 13:10,11/6/2019 17:45,<1,Oh Kie Hock,Catch all
contractors hut mean,Catch all,,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,11/6/2019 13:11,11/6/2019 17:45,<1,Oh Kie Hock,Catch all
do i need to submit change of use even still in same business,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,Incorrect,11/6/2019 13:20,11/6/2019 17:45,<1,Oh Kie Hock,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?
Adding a new kitchen in existing restaurant still needs to apply for change of use,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,Catch all,,No Feedback,11/6/2019 13:23,11/6/2019 17:44,<1,Oh Kie Hock,Catch all
check building height for landed proerty,General info on buying and renovating private residential properties,Top Match,General Info on URA SPACE map service,,No Feedback,11/6/2019 14:55,11/6/2019 17:44,<1,Oh Kie Hock,General Info on URA SPACE map service
What is the type of use of downstairs and upstairs of 117 Tyrwhitt Road Singapore 207546,General info on change of use,Top Match,Catch all,,No Feedback,11/6/2019 13:29,11/6/2019 17:43,<1,Oh Kie Hock,General info on change of use
ura planning permission,What are the development works that are exempted from planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/6/2019 13:35,11/6/2019 17:43,<1,Oh Kie Hock,"What do I need to know when renovating a strata-titled residential property, such as my condominium unit?"
What happens when estate with leasehold of 70 years expired,Catch all,,Catch all,,No Feedback,11/6/2019 13:34,11/6/2019 17:42,<1,Oh Kie Hock,Catch all
can i use my private property home to sell baked goods,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,11/6/2019 13:37,11/6/2019 17:42,<1,Oh Kie Hock,General Info on Home Business
how do i apply for a home based business,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,11/6/2019 13:38,11/6/2019 17:42,<1,Oh Kie Hock,General Info on Home Business
How to request For private residence lease extension,General info on renting private residential property,Top Match,Catch all,,No Feedback,11/6/2019 13:45,11/6/2019 17:42,<1,Oh Kie Hock,General info on renting private residential property
The developer hacked the common wall without protection to my property any damage to my property during hacking what should I do,General info on renting private residential property,,Catch all,,No Feedback,11/6/2019 14:33,11/6/2019 17:42,<1,Oh Kie Hock,General Information about URA
Mine is a landed property,General info on buying and renovating private residential properties,Top Match,Catch all,,No Feedback,11/6/2019 14:33,11/6/2019 17:42,<1,Oh Kie Hock,General info on buying and renovating private residential properties
payment of development charge through bank transfer,General information on development charge rates,Top Match,Catch all,,No Feedback,11/6/2019 15:01,11/6/2019 17:41,<1,Oh Kie Hock,General information on development charge rates
rebuild landed property,General info on buying and renovating private residential properties,Top Match,General info on buying and renovating private residential properties,,No Feedback,11/6/2019 14:56,11/6/2019 17:41,<1,Oh Kie Hock,General info on buying and renovating private residential properties
girl it is abt ura,General Info on URA SPACE map service,,Catch all,,No Feedback,11/6/2019 14:49,11/6/2019 17:41,<1,Oh Kie Hock,Catch all
can i ask where can i get the address acknowldege form,General Information about URA,Top Match,Catch all,,No Feedback,11/6/2019 15:19,11/6/2019 17:30,<1,Oh Kie Hock,Catch all
what has it got to do with my question,Catch all,,Catch all,,No Feedback,11/6/2019 15:31,11/6/2019 17:30,<1,Oh Kie Hock,Catch all
where to update tenant details under private property,General info on renting private residential property,Top Match,Catch all,,No Feedback,11/6/2019 15:31,11/6/2019 17:30,<1,Oh Kie Hock,General info on renting private residential property
Is there any cap on Executive Condo,General info on renting private residential property,,Catch all,,No Feedback,11/6/2019 15:32,11/6/2019 17:30,<1,Oh Kie Hock,General info on renting private residential property
Do I need apply for permit to work for Changing the signage at the shop front,General information on building conservation,Top Match,Catch all,,No Feedback,11/6/2019 15:50,11/6/2019 17:30,<1,Oh Kie Hock,Catch all
I FILLED ALL PARTICULARS IT STILL PROMPT ID TYPE IS MANDATORY WHAT IS IT,Catch all,,Catch all,,No Feedback,11/6/2019 16:00,11/6/2019 17:29,<1,Oh Kie Hock,Car Parks-Parking Offences-Check outstanding
building height,General info on buying and renovating private residential properties,Top Match,General Info on URA SPACE map service,,No Feedback,11/6/2019 16:08,11/6/2019 17:25,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
EXTENSION OF WP,How do I apply for planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/6/2019 15:59,11/6/2019 17:25,<1,Oh Kie Hock,What is a Temporary Written Permission?
